Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;11942734;e;11298981;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;3755;e;3159;e
;;Andere Speicher;-;;-;
;;Insgesamt;39322242;e;36693679;e
;September;Steinkohlen;10388968;e;9597087;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11689248;e;10773158;e
;;Hartbraunkohlen;175882;e;160266;e
;;Braunkohlenbriketts;5446;e;4857;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;53424;e;47914;e
;;Sonstige Braunkohlen;12678;e;11658;e
;;Dieselkraftstoff;239;e;206;e
;;Heizöl, leicht;40948;e;37628;e
;;Heizöl, schwer;51414;e;47411;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;29936;e;27604;e
;;Sonstige Mineralölprodukte;88852;e;81303;e
;;Erdgas, Erdölgas;3135064;e;3001504;e
;;Grubengas;21547;e;19251;e
;;Kokereigas;3787;e;3380;e
;;Hochofengas;291554;e;272638;e
;;Sonstige hergestellte Gase;21706;e;19924;e
;;Wasserstoff;-;;-;
;;Laufwasser;1460259;e;1444455;e
;;Speicherwasser;172924;e;169143;e
;;Pumpspeicherwasser;335040;e;328248;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;38144;e;37624;e
;;Photovoltaik;106;e;106;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;20950;e;19209;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2655;e;2487;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;965;e;952;e
;;Deponiegas;9079;e;8739;e
;;Sonstige erneuerbare Energien;14809;e;13601;e
;;Klärschlamm;3067;e;2697;e
;;Abfall (Hausmüll, Industrie);318098;e;247352;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;12126722;e;11497453;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;3723;e;3127;e
;;Andere Speicher;-;;-;
;;Insgesamt;40517235;e;37880983;e
;Oktober;Steinkohlen;10949612;e;10068131;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13246184;e;12260916;e
;;Hartbraunkohlen;213296;e;194297;e
;;Braunkohlenbriketts;5373;e;4750;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;48261;e;43648;e
;;Sonstige Braunkohlen;15019;e;13846;e
;;Dieselkraftstoff;423;e;405;e
;;Heizöl, leicht;42300;e;38944;e
;;Heizöl, schwer;51698;e;48019;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
