Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
;;Speicherwasser;82675;e;82184;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;119919;e;117075;e
;;Pumpspeicher ohne natürlichen Zufluss;526862;e;511146;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;370669;e;332308;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;42721;e;41540;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3609;e;3326;e
;;Deponiegas;6643;e;6382;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;9967;e;9163;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);106640;e;84826;e
;;Abfall (Hausmüll, Siedlungsabfälle);782175;e;609478;e
;;Kernenergie;9289504;e;8802194;e
;;Wärme;27480;e;26489;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;19298;e;17451;e
;;Andere Speicher;-;;-;
;;Insgesamt;42038109;e;39227746;e
;Februar;Steinkohlen;12385808;e;11336828;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13752356;e;12705068;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;1770;e;1529;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;79353;e;70058;e
;;Staub- und Trockenkohle;25626;e;24045;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;1215;e;1204;e
;;Heizöl, leicht;98121;e;91778;e
;;Heizöl, schwer;29334;e;26608;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;213686;e;194930;e
;;Erdgas, Erdölgas;6702849;e;6520632;e
;;Grubengas;24828;e;24464;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1172001;e;1132094;e
;;Speicherwasser;45810;e;45153;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;33667;e;31904;e
;;Pumpspeicher ohne natürlichen Zufluss;529257;e;508491;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;337374;e;300487;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;40525;e;39310;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3439;e;3172;e
;;Deponiegas;6137;e;5844;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;8426;e;7780;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);101534;e;81510;e
;;Abfall (Hausmüll, Siedlungsabfälle);690048;e;538187;e
;;Kernenergie;8885455;e;8421221;e
;;Wärme;28564;e;27566;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;23261;e;20775;e
;;Andere Speicher;-;;-;
;;Insgesamt;45489941;e;42411528;e
;März;Steinkohlen;9898923;e;9089517;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;14469966;e;13400539;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;2581;e;2273;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;56544;e;50749;e
;;Staub- und Trockenkohle;19373;e;18016;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;44;e;41;e
;;Heizöl, leicht;41084;e;37158;e
;;Heizöl, schwer;38629;e;35744;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;152933;e;138610;e
;;Erdgas, Erdölgas;4437556;e;4303598;e
;;Grubengas;29571;e;29228;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1457831;e;1427489;e
;;Speicherwasser;47279;e;46871;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;45346;e;43780;e
;;Pumpspeicher ohne natürlichen Zufluss;502827;e;489487;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;347473;e;308530;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;44367;e;43190;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3848;e;3563;e
;;Deponiegas;5649;e;5376;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;12619;e;11548;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);107979;e;86914;e
;;Abfall (Hausmüll, Siedlungsabfälle);795182;e;635764;e
;;Kernenergie;9217608;e;8731592;e
;;Wärme;27758;e;26595;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;22361;e;20231;e
;;Andere Speicher;-;;-;
;;Insgesamt;42083711;e;39262786;e
;April;Steinkohlen;10270723;e;9425613;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12225867;e;11280772;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;1479;e;1294;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;89656;e;79042;e
;;Staub- und Trockenkohle;14433;e;13335;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;10;e;10;e
;;Heizöl, leicht;36695;e;32402;e
;;Heizöl, schwer;33954;e;31377;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;200913;e;183475;e
;;Erdgas, Erdölgas;4332791;e;4209399;e
;;Grubengas;29636;e;29347;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1459405;e;1438790;e
;;Speicherwasser;62772;e;62370;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;39902;e;38964;e
;;Pumpspeicher ohne natürlichen Zufluss;493064;e;481480;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;317241;e;281809;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;48881;e;47497;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3323;e;3100;e
;;Deponiegas;5923;e;5655;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;9902;e;8922;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);104536;e;83268;e
;;Abfall (Hausmüll, Siedlungsabfälle);775525;e;617543;e
;;Kernenergie;6128750;e;5794722;e
;;Wärme;29817;e;28572;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;22742;e;20429;e
;;Andere Speicher;-;;-;
;;Insgesamt;37003483;e;34442757;e
;Mai;Steinkohlen;8489866;e;7782223;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11245090;e;10342439;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;2542;e;2230;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;38797;e;33631;e
;;Staub- und Trockenkohle;14733;e;13118;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;25;e;25;e
;;Heizöl, leicht;27810;e;25268;e
;;Heizöl, schwer;36424;e;33690;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;124136;e;112986;e
;;Erdgas, Erdölgas;3208009;e;3105900;e
;;Grubengas;31127;e;30822;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1649851;e;1615913;e
;;Speicherwasser;81403;e;81000;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;24587;e;24008;e
;;Pumpspeicher ohne natürlichen Zufluss;529789;e;516704;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;334524;e;296687;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;49236;e;47708;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3645;e;3381;e
;;Deponiegas;6415;e;6148;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;10220;e;9363;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);123155;e;100065;e
;;Abfall (Hausmüll, Siedlungsabfälle);831186;e;667656;e
;;Kernenergie;7112678;e;6726074;e
;;Wärme;30284;e;28952;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;20696;e;18643;e
;;Andere Speicher;-;;-;
;;Insgesamt;34313998;e;31892527;e
;Juni;Steinkohlen;7527338;e;6910301;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12288541;e;11325374;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;2284;e;2032;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;31163;e;27512;e
;;Staub- und Trockenkohle;6559;e;6025;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;73;e;72;e
;;Heizöl, leicht;33131;e;29995;e
;;Heizöl, schwer;41153;e;38159;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;87894;e;79874;e
;;Erdgas, Erdölgas;3082357;e;2976407;e
;;Grubengas;30909;e;30661;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1581960;e;1546289;e
;;Speicherwasser;91660;e;91240;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;26990;e;26338;e
;;Pumpspeicher ohne natürlichen Zufluss;449392;e;438235;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;303689;e;274493;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;46328;e;44816;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;4082;e;3812;e
;;Deponiegas;5973;e;5693;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;9709;e;8881;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);109456;e;87499;e
;;Abfall (Hausmüll, Siedlungsabfälle);795502;e;640179;e
;;Kernenergie;7092599;e;6707620;e
;;Wärme;27518;e;26629;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;19312;e;17251;e
;;Andere Speicher;-;;-;
;;Insgesamt;33977308;e;31606633;e
;Juli;Steinkohlen;8021336;e;7361317;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12458943;e;11515047;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;1500;e;1331;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;40784;e;35692;e
;;Staub- und Trockenkohle;10589;e;9198;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;26;e;25;e
;;Heizöl, leicht;33782;e;30094;e
;;Heizöl, schwer;43288;e;39865;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;24209;e;21942;e
;;Erdgas, Erdölgas;3082657;e;2985652;e
;;Grubengas;25010;e;24667;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1525182;e;1501363;e
;;Speicherwasser;71568;e;71246;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;21261;e;20462;e
;;Pumpspeicher ohne natürlichen Zufluss;469975;e;458483;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;311939;e;283390;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;44953;e;43311;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3218;e;3020;e
;;Deponiegas;6846;e;6539;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;9672;e;8873;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);121779;e;97724;e
;;Abfall (Hausmüll, Siedlungsabfälle);847617;e;687053;e
;;Kernenergie;7208589;e;6807439;e
;;Wärme;21169;e;20494;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;17700;e;16073;e
;;Andere Speicher;-;;-;
;;Insgesamt;34689501;e;32296736;e
;August;Steinkohlen;8252328;e;7574113;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12082054;e;11177510;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;3365;e;3019;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;28828;e;25717;e
;;Staub- und Trockenkohle;16106;e;14069;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;105;e;100;e
;;Heizöl, leicht;22909;e;19405;e
;;Heizöl, schwer;32114;e;29784;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;45852;e;41567;e
;;Erdgas, Erdölgas;3064825;e;2963728;e
;;Grubengas;25444;e;25168;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1279695;e;1252623;e
;;Speicherwasser;69413;e;69193;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;16128;e;15420;e
;;Pumpspeicher ohne natürlichen Zufluss;482889;e;473512;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;327565;e;297161;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;43109;e;41645;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3373;e;3136;e
;;Deponiegas;6106;e;5822;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;12462;e;11395;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);129357;e;104387;e
;;Abfall (Hausmüll, Siedlungsabfälle);864130;e;694315;e
;;Kernenergie;9045240;e;8559224;e
;;Wärme;20992;e;20259;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;21023;e;18728;e
;;Andere Speicher;-;;-;
;;Insgesamt;36210482;e;33732881;e
;September;Steinkohlen;8830622;e;8122750;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11963390;e;11069786;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;4034;e;3582;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;5430;e;5078;e
;;Staub- und Trockenkohle;16384;e;14387;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;40;e;39;e
;;Heizöl, leicht;39971;e;36293;e
;;Heizöl, schwer;40490;e;37514;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;105250;e;95270;e
;;Erdgas, Erdölgas;3295345;e;3191364;e
;;Grubengas;30864;e;30527;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1347229;e;1312756;e
;;Speicherwasser;72679;e;72410;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;18139;e;16892;e
;;Pumpspeicher ohne natürlichen Zufluss;507256;e;495996;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;319505;e;289648;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;45420;e;43980;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3386;e;3104;e
;;Deponiegas;6244;e;5945;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;8377;e;7721;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);112729;e;89984;e
;;Abfall (Hausmüll, Siedlungsabfälle);773790;e;620890;e
;;Kernenergie;8439309;e;7996960;e
;;Wärme;23240;e;22580;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;18898;e;16591;e
;;Andere Speicher;-;;-;
;;Insgesamt;36310968;e;33861683;e
;Oktober;Steinkohlen;10765298;e;9890581;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13322730;e;12321739;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;5199;e;4729;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;48619;e;42935;e
;;Staub- und Trockenkohle;17888;e;16325;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;64;e;60;e
;;Heizöl, leicht;35864;e;32544;e
;;Heizöl, schwer;42296;e;39177;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;113583;e;103256;e
;;Erdgas, Erdölgas;4118128;e;3985871;e
;;Grubengas;29603;e;29209;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;-;;-;
;;Laufwasser;1331652;e;1305229;e
;;Speicherwasser;70712;e;70403;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;38385;e;36774;e
;;Pumpspeicher ohne natürlichen Zufluss;544588;e;532852;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;327900;e;294814;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;53142;e;51524;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3325;e;3046;e
;;Deponiegas;6343;e;6030;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;11724;e;10760;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);110358;e;89100;e
;;Abfall (Hausmüll, Siedlungsabfälle);785111;e;627923;e
;;Kernenergie;9005972;e;8545815;e
;;Wärme;28366;e;27543;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;19133;e;16970;e
;;Andere Speicher;-;;-;
;;Insgesamt;41119782;e;38348622;e
;November;Steinkohlen;10819945;e;9922858;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13941435;e;12935648;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;4058;e;3581;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;80885;e;72340;e
;;Staub- und Trockenkohle;17809;e;16291;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;95;e;90;e
;;Heizöl, leicht;37737;e;34796;e
;;Heizöl, schwer;38936;e;35964;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;83160;e;75391;e
;;Erdgas, Erdölgas;5021382;e;4877784;e
;;Grubengas;29721;e;29340;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;-;;-;
;;Laufwasser;1348536;e;1321070;e
;;Speicherwasser;51628;e;51290;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;56348;e;55348;e
;;Pumpspeicher ohne natürlichen Zufluss;530958;e;519346;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;333566;e;301069;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;56948;e;55319;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3195;e;2971;e
;;Deponiegas;5879;e;5640;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;10928;e;9994;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);115624;e;93007;e
;;Abfall (Hausmüll, Siedlungsabfälle);773994;e;613961;e
;;Kernenergie;9122331;e;8647941;e
;;Wärme;24559;e;23730;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;18612;e;16561;e
;;Andere Speicher;-;;-;
;;Insgesamt;42748512;e;39925382;e
;Dezember;Steinkohlen;10214183;e;9354832;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;12981970;e;12000160;e
;;Hartbraunkohlen;-;;-;
;;Braunkohlenbriketts;3046;e;2758;e
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;85161;e;75752;e
;;Staub- und Trockenkohle;21207;e;19529;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;176;e;120;e
;;Heizöl, leicht;75959;e;70581;e
;;Heizöl, schwer;34337;e;31594;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;119408;e;108776;e
;;Erdgas, Erdölgas;5233125;e;5048043;e
;;Grubengas;30034;e;29658;e
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;.;;.;
;;Wasserstoff;-;;-;
;;Laufwasser;1291723;e;1268382;e
;;Speicherwasser;57035;e;56677;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;119563;e;117463;e
;;Pumpspeicher ohne natürlichen Zufluss;527559;e;515313;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;.;;.;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;359437;e;326286;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;59277;e;57596;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3118;e;2856;e
;;Deponiegas;5797;e;5519;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;9664;e;8855;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);97342;e;75725;e
;;Abfall (Hausmüll, Siedlungsabfälle);725614;e;567857;e
;;Kernenergie;8912164;e;8439485;e
;;Wärme;26941;e;26299;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;18295;e;16146;e
;;Andere Speicher;-;;-;
;;Insgesamt;41241859;e;38439484;e
2013;Januar;Steinkohlen;12173942;e;11154046;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13931113;e;12945150;e
;;Hartbraunkohlen;.;;.;
;;Braunkohlenbriketts;5784;e;.;
;;Braunkohlenkoks;.;;.;
;;Wirbelschichtkohle;.;;.;
;;Staub- und Trockenkohle;23803;e;21956;e
;;Sonstige Braunkohlen;-;;-;
;;Dieselkraftstoff;148;e;.;
;;Heizöl, leicht;52714;e;47994;e
;;Heizöl, schwer;35279;e;32413;e
;;Flüssiggas;.;;.;
;;Raffineriegas;-;;-;
;;Petrolkoks;.;;.;
;;Sonstige Mineralölprodukte;.;;.;
;;Erdgas, Erdölgas;5613099;e;5442054;e
;;Grubengas;.;;.;
;;Kokereigas;.;;.;
;;Hochofengas;.;;.;
;;Sonstige hergestellte Gase;-;;-;
;;Wasserstoff;-;;-;
;;Laufwasser;1559127;e;1531671;e
;;Speicherwasser;76451;e;75932;e
;;Pumpspeicherwasser;-;;-;
;;Pumpspeicher mit natürlichem Zufluss;78265;e;74476;e
;;Pumpspeicher ohne natürlichen Zufluss;543860;e;531247;e
;;Windkraft;-;;-;
;;Photovoltaik;-;;-;
;;Geothermie;4365;e;4365;e
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;409441;e;369043;e
;;Flüssige biogene Stoffe;.;;.;
;;Biogas;79840;e;77576;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;3862;e;3577;e
;;Deponiegas;5457;e;5159;e
;;Sonstige erneuerbare Energien;.;;.;
;;Klärschlamm;10973;e;10092;e
;;Abfall (Hausmüll, Industrie);-;;-;
;;Abfall (Industrie);74010;e;59026;e
;;Abfall (Hausmüll, Siedlungsabfälle);744580;e;575225;e
;;Kernenergie;9409882;e;8917829;e
;;Wärme;54429;e;52296;e
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;.;;.;
;;Andere Speicher;-;;-;
;;Insgesamt;45401917;e;42405868;e
;Februar;Steinkohlen;12067845;e;11086696;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13342975;e;12415103;e
