Jahr,Typ,Elektrizitätserzeugung (brutto),Elektrizitätserzeugung (netto)
2010,Dieselkraftstoff,2295.0,2058.0
2010,"Erdgas, Erdölgas",64963290.0,63091282.0
2010,Feste biogene Stoffe,3620581.0,3278135.0
2010,Flüssige biogene Stoffe,46933.0,44075.0
2010,Flüssiggas,24.0,24.0
2010,Geothermie,16494.0,11858.0
2010,Grubengas,386888.0,381784.0
2010,Hartbraunkohlen,0.0,0.0
2010,"Heizöl, leicht",547107.0,495363.0
2010,"Heizöl, schwer",600060.0,555281.0
2010,Hochofengas,2610581.0,2408477.0
2010,Insgesamt,501331232.0,468628740.0
2010,Kernenergie,140556453.0,132970650.0
2010,Klärgas,32345.0,29388.0
2010,Klärschlamm,160591.0,145977.0
2010,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2010,Kokereigas,512866.0,476601.0
2010,Laufwasser,16002094.0,15758648.0
2010,Petrolkoks,107739.0,101015.0
2010,Photovoltaik,17438.0,17437.0
2010,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2010,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2010,Pumpspeicherwasser,6928750.0,6799166.0
2010,Raffineriegas,0.0,0.0
2010,Rohbraunkohlen,141459454.0,130429246.0
2010,Solarthermie,0.0,0.0
2010,Sonstige Braunkohlen,29103.0,27431.0
2010,Sonstige Energieträger,524848.0,487452.0
2010,Sonstige Mineralölprodukte,1630450.0,1491182.0
2010,Sonstige Steinkohlen,0.0,0.0
2010,Sonstige erneuerbare Energien,442.0,442.0
2010,Sonstige hergestellte Gase,30103.0,30103.0
2010,Speicherwasser,699254.0,691835.0
2010,Staub- und Trockenkohle,134590.0,123000.0
2010,Steinkohlen,108403830.0,99705966.0
2010,Steinkohlenbriketts,0.0,0.0
2010,Steinkohlenkoks,0.0,0.0
2010,Strom (Elektrokessel),0.0,0.0
2010,Wasserstoff,0.0,0.0
2010,Windkraft,420703.0,419334.0
2010,Wirbelschichtkohle,382877.0,327134.0
2010,Wärme,0.0,0.0
2010,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2011,"Abfall (Hausmüll, Industrie)",10529364.0,8353125.0
2011,"Abfall (Hausmüll, Siedlungsabfälle)",9100545.0,7211704.0
2011,Abfall (Industrie),1428821.0,1141419.0
2011,Andere Speicher,0.0,0.0
2011,Biogas,299767.0,292323.0
2011,Biomethan (Bioerdgas),0.0,0.0
2011,Braunkohlenbriketts,31624.0,27693.0
2011,Braunkohlenkoks,6641.0,5068.0
2011,Deponiegas,75226.0,71211.0
2011,Dieselkraftstoff,2641.0,2432.0
2011,"Erdgas, Erdölgas",61598066.0,59760964.0
2011,Feste biogene Stoffe,4034615.0,3628109.0
2011,Flüssige biogene Stoffe,8452.0,7550.0
2011,Flüssiggas,24.0,24.0
2011,Geothermie,10243.0,10243.0
2011,Grubengas,398047.0,393635.0
2011,Hartbraunkohlen,0.0,0.0
2011,"Heizöl, leicht",524411.0,477112.0
2011,"Heizöl, schwer",462887.0,428810.0
2011,Hochofengas,2504770.0,2329829.0
2011,Insgesamt,462102070.0,431182391.0
2011,Kernenergie,107971230.0,102240624.0
2011,Klärgas,32920.0,30332.0
2011,Klärschlamm,136318.0,124670.0
2011,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2011,Kokereigas,431380.0,403312.0
2011,Laufwasser,13764967.0,13441779.0
2011,Petrolkoks,33373.0,30594.0
2011,Photovoltaik,0.0,0.0
2011,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2011,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2011,Pumpspeicherwasser,6245568.0,6099242.0
2011,Raffineriegas,0.0,0.0
2011,Rohbraunkohlen,145474851.0,134056254.0
2011,Solarthermie,0.0,0.0
2011,Sonstige Braunkohlen,0.0,0.0
2011,Sonstige Energieträger,267907.0,240326.0
2011,Sonstige Mineralölprodukte,800128.0,729249.0
2011,Sonstige Steinkohlen,0.0,0.0
2011,Sonstige erneuerbare Energien,520.0,520.0
2011,Sonstige hergestellte Gase,29367.0,28168.0
2011,Speicherwasser,535740.0,532653.0
2011,Staub- und Trockenkohle,173019.0,160005.0
2011,Steinkohlen,104856166.0,96498708.0
2011,Steinkohlenbriketts,0.0,0.0
2011,Steinkohlenkoks,0.0,0.0
2011,Strom (Elektrokessel),0.0,0.0
2011,Wasserstoff,0.0,0.0
2011,Windkraft,0.0,0.0
2011,Wirbelschichtkohle,591359.0,518777.0
2011,Wärme,270483.0,259051.0
2011,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2012,"Abfall (Hausmüll, Industrie)",0.0,0.0
2012,"Abfall (Hausmüll, Siedlungsabfälle)",9439874.0,7520806.0
2012,Abfall (Industrie),1340489.0,1074009.0
2012,Andere Speicher,0.0,0.0
2012,Biogas,574907.0,557436.0
2012,Biomethan (Bioerdgas),0.0,0.0
2012,Braunkohlenbriketts,34609.0,30708.0
2012,Braunkohlenkoks,0.0,0.0
