statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST-SONST;Sonstige Länder;291494;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST-SONST;Sonstige Länder;302703;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST-SONST;Sonstige Länder;11209;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2025;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;...;MWh;SDO001;Austauschsaldo;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2025;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;...;MWh;EKT102;Einfuhr von Elektrizität;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2025;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;...;MWh;EKT202;Ausfuhr von Elektrizität;
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;-1541057;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;2918556;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2000;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;4459613;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2008;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;722330;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2008;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;733140;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2008;MONAT;Monate;MONAT03;März;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST126;Dänemark;10810;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST148;Niederlande;-1019979;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST148;Niederlande;182456;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST148;Niederlande;1202435;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2011;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST158;Schweiz;-256003;MWh;SDO001;Austauschsaldo;e
