,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Variable,Perturbation,Cost_Sensitivity,GWP_Sensitivity,Cost_Normalized_Sensitivity,GWP_Normalized_Sensitivity
237,6.906527087325757,0.027190961197262793,6.34402770683288,5.740094118015298,8.105526832174121,2.7163168289739885,10.45892534791355,14.265142207506086,15.436248910061062,30.0,2032.0,9.823046255357138,24.811640911433315,Wind,-10%,0.0,0.0,,
238,6.526795473422881,0.025695959809668864,5.995223184777064,5.42449480510037,7.659872345252196,2.566969499947987,9.883877345953026,13.480822475675748,15.436248910061062,33.0,2032.0,9.812995732023806,25.467147676458318,Wind,+10%,-0.0010231574882232383,0.026419323387956252,-0.010231574882232383,0.2641932338795625
239,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Biomass,0%,,,,
240,6.680173358252216,12.024678629342505,4.1600446006671765,4.707956304486162,0.5855676106466297,7.586466787890201,9.295390007678275,9.959722701036839,15.0,30.0,2033.0,9.772868558333334,26.297243394849996,Biomass,-10%,-0.01018085387100933,0.04788876018566637,0.11588347927178339,-0.5450933898707353
241,7.9500789309131585,11.70865501207924,4.050713417422801,4.584225315316061,0.5701781603192678,7.387084937409281,9.051095514274428,9.697968712265762,15.0,30.0,2033.0,10.642219499166671,25.07056689715,Biomass,+10%,0.07786905704366671,-0.000991667888991719,0.9102668059980207,-0.011592311454562671
242,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Hard coal,0%,,,,
243,7.48504786932383,10.913532503549321,4.195148564886432,4.747683746262145,0.5905088423941925,7.650484144490167,9.373827877835058,10.043766451258852,15.0,30.0,2033.0,9.995779620892861,24.858316271599993,Hard coal,-10%,0.012396103578933644,-0.009449400188788152,-0.15464738627476562,0.11788583660625339
244,7.168933181284548,12.775428400903602,4.017975605805903,4.547175667681961,0.565569988059953,7.327382615828407,8.977944681485717,9.61958985894991,15.0,30.0,2033.0,9.90035581625,25.779128980500005,Hard coal,+10%,0.00273135588809964,0.027243011764983577,0.035577524686761945,0.35485632898787284
245,7.32358092296988,11.864562798406693,4.104651103801449,4.645267033617596,0.5777704255876465,7.485448417998315,9.171616296893188,9.827103000725232,15.0,30.0,2033.0,9.873388079583338,25.0954532523,Hydropower,0%,,,,
246,7.378647786206634,11.953773836538952,3.721963010840861,4.680195340839017,0.5821147491286465,7.541732381900026,9.240578754684423,9.90099413986144,15.0,30.0,2033.0,9.873388079583338,25.077879932899997,Hydropower,-10%,0.0,-0.000700259095674761,-0.0,0.007510866742081861
