statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KOKS;Steinkohlenkoks;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KOKS;Steinkohlenkoks;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KOKS;Steinkohlenkoks;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KOKS;Steinkohlenkoks;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-SONST;Sonstige hergestellte Gase;44741;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-SONST;Sonstige hergestellte Gase;24068;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-SONST;Sonstige hergestellte Gase;24068;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-SONST;Sonstige hergestellte Gase;263786;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;PHOTO-01;Photovoltaik;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;PHOTO-01;Photovoltaik;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;PHOTO-01;Photovoltaik;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;PHOTO-01;Photovoltaik;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-FL-01;Flüssige biogene Stoffe;.;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-FL-01;Flüssige biogene Stoffe;.;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-FL-01;Flüssige biogene Stoffe;.;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-FL-01;Flüssige biogene Stoffe;.;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;27240;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KWS;Kohlenwertstoffe aus Steinkohle;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KWS;Kohlenwertstoffe aus Steinkohle;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KWS;Kohlenwertstoffe aus Steinkohle;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-KWS;Kohlenwertstoffe aus Steinkohle;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-01;Pumpspeicherwasser;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-01;Pumpspeicherwasser;7244619;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-01;Pumpspeicherwasser;7372997;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-01;Pumpspeicherwasser;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-HO-01;Hochofengas;.;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-HO-01;Hochofengas;.;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-HO-01;Hochofengas;.;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-HO-01;Hochofengas;.;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;9660943;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;141725570;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;153603201;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;1492987291;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-02;Pumpspeicher mit natürlichem Zufluss;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-02;Pumpspeicher mit natürlichem Zufluss;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-02;Pumpspeicher mit natürlichem Zufluss;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-02;Pumpspeicher mit natürlichem Zufluss;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-SONST;Sonstige Steinkohlen;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-SONST;Sonstige Steinkohlen;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-SONST;Sonstige Steinkohlen;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-SONST;Sonstige Steinkohlen;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;9632752;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;130429246;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;141459454;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2010;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-ROH;Rohbraunkohlen;1357698042;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-HART;Hartbraunkohlen;.;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-HART;Hartbraunkohlen;.;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-B-HART;Hartbraunkohlen;.;MWh;EKT001;Elektrizitätserzeugung (brutto);
